Player,Season,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,EFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
Daequan Cook,2011,SG,23,OKC,17,0,195,22,56,.393,16,46,.348,6,10,.600,.536,4,4,1.000,1,26,27,1,3,0,7,17,64
Jamal Crawford,2011,SG,30,ATL,12,0,358,61,155,.394,21,60,.350,40,95,.421,.461,42,51,.824,1,15,16,30,9,4,16,17,185
Glen Davis,2011,C,25,BOS,9,0,191,18,46,.391,0,1,.000,18,45,.400,.391,8,11,.727,7,25,32,8,3,0,9,21,44
Luol Deng,2011,SF,25,CHI,16,16,687,98,230,.426,22,68,.324,76,162,.469,.474,52,62,.839,27,79,106,43,24,10,26,40,270
Toney Douglas,2011,SG,24,NYK,4,3,112,15,41,.366,7,18,.389,8,23,.348,.451,6,6,1.000,2,11,13,9,2,0,4,12,43
Chris Duhon,2011,PG,28,ORL,1,0,4,1,2,.500,1,2,.500,0,0,,.750,2,2,1.000,0,0,0,0,0,0,0,0,5
Tim Duncan*,2011,C,34,SAS,6,6,212,33,69,.478,0,0,,33,69,.478,.478,10,16,.625,16,47,63,16,3,15,18,17,76
Mike Dunleavy,2011,SG,30,IND,5,0,72,7,20,.350,3,10,.300,4,10,.400,.425,8,12,.667,0,6,6,8,4,0,1,3,25
Kevin Durant,2011,SF,22,OKC,17,17,722,155,345,.449,37,109,.339,118,236,.500,.503,140,167,.838,18,121,139,48,16,19,42,52,487
Patrick Ewing,2011,SF,26,NOH,2,0,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3
Raymond Felton,2011,SG,26,DEN,5,0,152,18,50,.360,4,16,.250,14,34,.412,.400,18,24,.750,0,9,9,21,6,0,10,10,58
Rudy Fernández,2011,SG,25,POR,6,0,81,4,18,.222,3,10,.300,1,8,.125,.306,6,9,.667,2,10,12,5,2,1,2,7,17
Landry Fields,2011,SG,22,NYK,4,4,71,3,15,.200,0,4,.000,3,11,.273,.200,1,6,.167,1,4,5,5,2,3,4,0,7
Derek Fisher,2011,PG,36,LAL,10,10,325,29,67,.433,7,17,.412,22,50,.440,.485,17,21,.810,1,26,27,36,14,2,8,25,82
Gary Forbes,2011,SF,25,DEN,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
T.J. Ford,2011,PG,27,IND,2,0,14,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,0,1,1,2,0,0,2,0,7
Jeff Foster,2011,C,34,IND,5,0,93,7,12,.583,0,0,,7,12,.583,.583,3,8,.375,10,14,24,4,2,4,5,14,17
Danilo Gallinari,2011,SF,22,DEN,5,5,148,19,44,.432,7,15,.467,12,29,.414,.511,15,21,.714,1,16,17,10,4,0,7,17,60
Kevin Garnett*,2011,PF,34,BOS,9,9,328,56,127,.441,0,1,.000,56,126,.444,.441,22,29,.759,21,77,98,23,17,9,19,27,134
Marc Gasol,2011,C,26,MEM,13,13,519,72,141,.511,0,2,.000,72,139,.518,.511,51,73,.699,41,105,146,29,14,28,26,44,195
Pau Gasol,2011,C,30,LAL,10,10,358,47,112,.420,1,2,.500,46,110,.418,.424,36,45,.800,32,46,78,38,4,17,17,33,131
Paul George,2011,SG,20,IND,5,5,133,10,33,.303,3,13,.231,7,20,.350,.348,7,8,.875,5,20,25,5,7,10,7,11,30
Taj Gibson,2011,PF,25,CHI,16,0,284,43,76,.566,0,1,.000,43,75,.573,.566,9,15,.600,26,40,66,9,5,22,14,32,95
Manu Ginóbili*,2011,SG,33,SAS,5,5,174,31,70,.443,9,28,.321,22,42,.524,.507,32,41,.780,2,18,20,21,13,3,17,13,103
Danny Granger,2011,SF,27,IND,5,5,183,43,90,.478,8,23,.348,35,67,.522,.522,14,16,.875,6,22,28,16,6,1,7,12,108
Aaron Gray,2011,C,26,NOH,6,0,87,9,13,.692,0,0,,9,13,.692,.692,3,8,.375,3,18,21,2,2,2,5,13,21
Danny Green,2011,SG,23,SAS,4,0,7,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,0,1,1,2,1,1,1,1,5
Jeff Green,2011,SF,24,BOS,9,0,173,23,53,.434,7,16,.438,16,37,.432,.500,13,18,.722,6,18,24,2,5,4,12,20,66
Willie Green,2011,SG,29,NOH,6,0,84,14,36,.389,2,9,.222,12,27,.444,.417,4,7,.571,1,4,5,4,2,0,3,14,34
Hamed Haddadi,2011,C,25,MEM,9,0,31,3,10,.300,0,1,.000,3,9,.333,.300,5,6,.833,3,5,8,0,0,5,2,7,11
Tyler Hansbrough,2011,PF,25,IND,5,5,164,20,60,.333,0,0,,20,60,.333,.333,16,18,.889,13,14,27,5,6,0,9,13,56
James Harden,2011,SG,21,OKC,17,0,537,66,139,.475,23,76,.303,43,63,.683,.558,66,80,.825,10,81,91,61,21,13,28,48,221
Al Harrington,2011,PF,30,DEN,5,0,70,10,22,.455,5,10,.500,5,12,.417,.568,3,4,.750,1,6,7,5,3,0,4,7,28
Udonis Haslem,2011,PF,30,MIA,12,0,290,27,68,.397,0,0,,27,68,.397,.397,9,10,.900,13,41,54,9,6,4,11,31,63
Spencer Hawes,2011,C,22,PHI,5,5,98,12,33,.364,0,1,.000,12,32,.375,.364,2,4,.500,5,14,19,9,0,2,2,11,26
Brendan Haywood,2011,C,31,DAL,18,0,275,18,31,.581,0,0,,18,31,.581,.581,20,43,.465,34,39,73,4,2,18,13,48,56
Roy Hibbert,2011,C,24,IND,5,5,132,20,45,.444,0,0,,20,45,.444,.444,12,17,.706,15,19,34,3,2,9,13,21,52
Nenê,2011,C,28,DEN,5,5,162,22,46,.478,0,0,,22,46,.478,.478,27,48,.563,14,31,45,8,5,4,8,17,71
George Hill,2011,PG,24,SAS,6,1,189,20,50,.400,4,15,.267,16,35,.457,.440,26,30,.867,5,25,30,14,9,2,8,15,70
Kirk Hinrich,2011,PG,30,ATL,6,6,173,26,52,.500,8,19,.421,18,33,.545,.577,1,1,1.000,1,13,14,16,7,2,4,21,61
Jrue Holiday,2011,PG,20,PHI,5,5,188,24,58,.414,11,21,.524,13,37,.351,.509,12,15,.800,3,16,19,28,10,2,11,10,71
Al Horford,2011,C,24,ATL,12,12,468,58,137,.423,0,2,.000,58,135,.430,.423,20,26,.769,25,90,115,42,5,12,17,33,136
Eddie House,2011,SG,32,MIA,7,0,48,4,17,.235,3,10,.300,1,7,.143,.324,0,0,,1,4,5,1,4,0,4,6,11
Dwight Howard,2011,C,25,ORL,6,6,258,51,81,.630,0,1,.000,51,80,.638,.630,60,88,.682,27,66,93,3,4,11,33,25,162
Juwan Howard,2011,PF,37,MIA,11,0,60,4,9,.444,0,0,,4,9,.444,.444,9,13,.692,3,7,10,1,0,0,2,8,17
Serge Ibaka,2011,PF,21,OKC,17,17,490,67,145,.462,0,1,.000,67,144,.465,.462,33,40,.825,47,77,124,3,4,52,21,64,167
Andre Iguodala,2011,SF,27,PHI,5,5,182,22,52,.423,3,14,.214,19,38,.500,.452,10,14,.714,7,28,35,34,5,2,14,16,57
Zydrunas Ilgauskas,2011,C,35,MIA,9,8,104,14,30,.467,0,0,,14,30,.467,.467,4,6,.667,15,17,32,3,0,3,9,16,32
D.J. Mbenga,2011,C,30,NOH,5,0,26,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,2,3,5,1,2,3,1,7,5
Royal Ivey,2011,SG,29,OKC,2,0,6,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,1,1,1,0,0,0,0,6
Jarrett Jack,2011,SG,27,NOH,6,0,111,12,34,.353,0,5,.000,12,29,.414,.353,11,16,.688,1,14,15,13,1,1,8,4,35
LeBron James,2011,SF,26,MIA,21,21,922,174,373,.466,30,85,.353,144,288,.500,.507,119,156,.763,34,142,176,123,35,25,66,56,497
Richard Jefferson,2011,SF,30,SAS,6,6,176,12,31,.387,6,17,.353,6,14,.429,.484,9,11,.818,2,23,25,5,3,3,6,13,39
Jared Jeffries,2011,PF,29,NYK,4,0,85,11,23,.478,0,0,,11,23,.478,.478,3,4,.750,13,7,20,1,3,7,3,7,25
Armon Johnson,2011,PG,21,POR,2,0,0,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Chris Johnson,2011,C,25,POR,4,0,19,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,0,5,5,0,0,2,0,3,4
Joe Johnson,2011,SG,29,ATL,12,12,497,87,198,.439,18,42,.429,69,156,.442,.485,34,42,.810,18,37,55,40,13,1,31,19,226
Trey Johnson,2011,SG,26,LAL,3,0,12,1,5,.200,0,1,.000,1,4,.250,.200,1,2,.500,1,3,4,1,0,0,0,2,3
Dahntay Jones,2011,SG,30,IND,3,0,50,9,20,.450,0,3,.000,9,17,.529,.450,8,9,.889,2,0,2,2,1,0,3,7,26
James Jones,2011,SF,30,MIA,12,0,272,24,51,.471,17,37,.459,7,14,.500,.637,13,13,1.000,3,27,30,2,6,2,4,24,78
Jason Kidd*,2011,PG,37,DAL,21,21,744,64,161,.398,43,115,.374,21,46,.457,.531,24,30,.800,11,84,95,153,40,10,56,36,195
Kyle Korver,2011,SG,29,CHI,16,0,276,38,98,.388,22,52,.423,16,46,.348,.500,7,7,1.000,1,18,19,17,8,3,16,35,105
Kosta Koufos,2011,C,21,DEN,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
Nenad Krstić,2011,C,27,BOS,7,0,56,5,8,.625,0,0,,5,8,.625,.625,2,3,.667,5,7,12,2,0,4,3,8,12
Carl Landry,2011,PF,27,NOH,6,6,213,31,68,.456,0,0,,31,68,.456,.456,33,36,.917,11,19,30,6,4,3,12,25,95
Ty Lawson,2011,PG,23,DEN,5,5,167,26,52,.500,5,11,.455,21,41,.512,.548,21,23,.913,7,10,17,19,5,1,6,9,78
Jamaal Magloire,2011,C,32,MIA,3,0,18,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,4,5,2,1,0,1,4,4
Ian Mahinmi,2011,C,24,DAL,6,0,33,3,5,.600,0,0,,3,5,.600,.600,5,9,.556,3,3,6,0,1,0,0,16,11
Shawn Marion,2011,SF,32,DAL,21,21,690,105,225,.467,0,5,.000,105,220,.477,.467,40,47,.851,46,87,133,45,21,19,36,53,250
Kenyon Martin,2011,PF,33,DEN,5,5,148,24,50,.480,0,0,,24,50,.480,.480,11,18,.611,6,33,39,8,2,2,7,18,59
Roger Mason,2011,SG,30,NYK,3,0,55,7,18,.389,5,13,.385,2,5,.400,.528,0,0,,3,1,4,3,1,0,1,6,19
Wesley Matthews,2011,SG,24,POR,6,6,202,27,57,.474,8,21,.381,19,36,.528,.544,16,19,.842,2,5,7,6,4,1,7,15,78
Eric Maynor,2011,PG,23,OKC,17,0,220,29,77,.377,9,25,.360,20,52,.385,.435,15,19,.789,5,17,22,37,9,0,16,16,82
O.J. Mayo,2011,SG,23,MEM,13,2,362,52,134,.388,20,49,.408,32,85,.376,.463,23,29,.793,10,31,41,31,11,4,17,42,147
Antonio McDyess,2011,PF,36,SAS,6,6,145,15,36,.417,0,0,,15,36,.417,.417,4,7,.571,10,20,30,8,2,5,7,21,34
Josh McRoberts,2011,PF,23,IND,5,0,79,8,24,.333,0,1,.000,8,23,.348,.333,9,11,.818,8,10,18,6,4,1,5,17,25
Jodie Meeks,2011,SG,23,PHI,5,5,125,13,31,.419,8,18,.444,5,13,.385,.548,5,6,.833,2,8,10,4,3,0,2,6,39
Andre Miller,2011,PG,34,POR,6,6,194,33,67,.493,4,10,.400,29,57,.509,.522,19,24,.792,5,14,19,33,2,0,13,17,89
Mike Miller,2011,SG,30,MIA,18,0,215,18,53,.340,11,37,.297,7,16,.438,.443,0,0,,9,40,49,13,7,1,8,26,47
Patty Mills,2011,PG,22,POR,2,0,5,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,0,0
Nazr Mohammed,2011,C,33,OKC,14,0,148,14,34,.412,0,0,,14,34,.412,.412,4,10,.400,9,23,32,0,4,6,6,27,32
Troy Murphy,2011,PF,30,BOS,1,0,3,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,0,0
Gary Neal,2011,SG,26,SAS,6,0,111,17,46,.370,5,19,.263,12,27,.444,.424,7,7,1.000,2,16,18,5,1,1,2,11,46
Jameer Nelson,2011,PG,28,ORL,6,6,216,31,82,.378,6,26,.231,25,56,.446,.415,11,14,.786,7,18,25,30,12,0,8,14,79
Joakim Noah,2011,C,25,CHI,16,16,529,51,124,.411,0,0,,51,124,.411,.411,37,51,.725,68,95,163,40,16,33,19,63,139
Andrés Nocioni,2011,SF,31,PHI,1,0,10,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,0,0,0,1,1,0
Steve Novak,2011,SF,27,SAS,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Dirk Nowitzki,2011,PF,32,DAL,21,21,826,192,396,.485,23,50,.460,169,346,.488,.514,175,186,.941,12,159,171,53,12,13,65,46,582
Jermaine O'Neal,2011,C,32,BOS,9,9,197,21,43,.488,0,0,,21,43,.488,.488,10,11,.909,15,23,38,8,2,16,8,34,52
Shaquille O'Neal*,2011,C,38,BOS,2,0,12,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,0,0,0,1,1,0,0,4,2
Lamar Odom,2011,PF,31,LAL,10,1,286,45,98,.459,4,20,.200,41,78,.526,.480,27,38,.711,13,52,65,21,2,4,15,25,121
Emeka Okafor,2011,C,28,NOH,6,6,188,20,31,.645,0,0,,20,31,.645,.645,4,11,.364,17,16,33,0,6,6,12,28,44
Zaza Pachulia,2011,C,26,ATL,11,0,195,11,23,.478,0,0,,11,23,.478,.478,17,22,.773,17,37,54,13,2,1,9,37,39
Tony Parker,2011,PG,28,SAS,6,6,221,43,93,.462,1,8,.125,42,85,.494,.468,31,41,.756,1,15,16,31,8,2,20,10,118
Chris Paul,2011,PG,25,NOH,6,6,250,42,77,.545,9,19,.474,33,58,.569,.604,39,49,.796,3,37,40,69,11,0,22,11,132
Kendrick Perkins,2011,C,26,OKC,17,17,479,29,64,.453,0,0,,29,64,.453,.453,19,33,.576,37,66,103,13,4,13,27,57,77
Paul Pierce*,2011,SF,33,BOS,9,9,343,68,148,.459,21,47,.447,47,101,.465,.530,30,34,.882,5,40,45,25,12,4,24,30,187
Quincy Pondexter,2011,SF,22,NOH,3,0,9,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,0,1,1,1,0,0,0,1,2
Leon Powe,2011,C,27,MEM,4,0,14,2,8,.250,0,0,,2,8,.250,.250,3,4,.750,2,2,4,0,0,0,0,0,7
Josh Powell,2011,PF,28,ATL,9,0,48,5,9,.556,0,0,,5,9,.556,.556,0,0,,3,6,9,1,0,0,2,8,10
A.J. Price,2011,PG,24,IND,5,0,80,13,35,.371,7,16,.438,6,19,.316,.471,9,10,.900,2,5,7,6,3,0,7,5,42
Zach Randolph,2011,PF,29,MEM,13,13,515,100,224,.446,2,8,.250,98,216,.454,.451,87,106,.821,43,98,141,31,14,10,27,45,289
Theo Ratliff,2011,C,37,LAL,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
J.J. Redick,2011,SG,26,ORL,6,0,120,15,42,.357,1,15,.067,14,27,.519,.369,9,12,.750,0,11,11,6,1,1,7,8,40
Jason Richardson,2011,SG,30,ORL,5,5,153,17,51,.333,8,25,.320,9,26,.346,.412,8,8,1.000,5,15,20,6,3,2,3,16,50
Quentin Richardson,2011,SF,30,ORL,6,1,98,8,15,.533,5,10,.500,3,5,.600,.700,2,2,1.000,3,12,15,2,1,1,2,9,23
Nate Robinson,2011,PG,26,OKC,3,0,12,2,7,.286,2,6,.333,0,1,.000,.429,2,2,1.000,0,0,0,1,0,0,0,1,8
Rajon Rondo,2011,PG,24,BOS,9,9,345,51,107,.477,0,3,.000,51,104,.490,.477,24,38,.632,11,38,49,86,10,0,33,16,126
Derrick Rose,2011,PG,22,CHI,16,16,649,149,376,.396,25,101,.248,124,275,.451,.430,111,134,.828,20,49,69,123,22,11,59,33,434
Brandon Roy,2011,SG,26,POR,6,0,138,22,44,.500,4,14,.286,18,30,.600,.545,8,13,.615,2,11,13,17,1,0,4,13,56
Brandon Rush,2011,SG,25,IND,5,0,55,6,13,.462,3,4,.750,3,9,.333,.577,1,2,.500,0,7,7,3,1,1,1,5,16
Thabo Sefolosha,2011,SG,26,OKC,17,17,344,31,67,.463,4,26,.154,27,41,.659,.493,13,13,1.000,12,41,53,12,16,5,15,24,79
Ish Smith,2011,PG,22,MEM,5,0,10,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,2,2,2,1,0,1,1,4
J.R. Smith,2011,SF,25,DEN,5,0,76,16,45,.356,9,21,.429,7,24,.292,.456,8,11,.727,1,9,10,5,2,0,8,8,49
Jason Smith,2011,C,24,NOH,6,0,58,7,15,.467,0,0,,7,15,.467,.467,0,0,,1,6,7,1,2,0,0,11,14
Joe Smith,2011,PF,35,LAL,5,0,11,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,0,1,0,0,0,0,1,0
Josh Smith,2011,PF,25,ATL,12,12,438,69,171,.404,3,24,.125,66,147,.449,.412,40,67,.597,18,84,102,35,13,25,26,39,181
Marreese Speights,2011,C,23,PHI,2,0,21,2,12,.167,0,0,,2,12,.167,.167,0,0,,1,5,6,1,0,1,0,4,4
Tiago Splitter,2011,C,26,SAS,3,0,50,10,16,.625,0,0,,10,16,.625,.625,0,3,.000,7,7,14,1,3,1,2,4,20
DeShawn Stevenson,2011,SG,29,DAL,21,18,332,29,83,.349,27,68,.397,2,15,.133,.512,9,12,.750,1,18,19,12,11,2,10,40,94
Peja Stojaković,2011,SF,33,DAL,19,0,350,49,120,.408,29,77,.377,20,43,.465,.529,7,9,.778,3,29,32,7,12,2,9,21,134
Amar'e Stoudemire,2011,C,28,NYK,4,4,134,21,55,.382,0,0,,21,55,.382,.382,16,24,.667,11,20,31,7,1,3,12,10,58
Pape Sy,2011,SF,22,ATL,4,0,11,2,3,.667,0,0,,2,3,.667,.667,2,4,.500,1,0,1,3,1,0,1,1,6
Jeff Teague,2011,PG,22,ATL,8,6,238,37,72,.514,1,7,.143,36,65,.554,.521,19,23,.826,0,17,17,28,6,3,8,10,94
Jason Terry,2011,SG,33,DAL,21,0,684,128,268,.478,42,95,.442,86,173,.497,.556,70,83,.843,6,34,40,67,26,3,32,44,368
Etan Thomas,2011,C,32,ATL,1,0,7,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,0,1,0,0,0,0,1,0
Kurt Thomas,2011,PF,38,CHI,7,0,74,10,18,.556,0,2,.000,10,16,.625,.556,0,0,,9,10,19,3,1,3,3,12,20
Ronny Turiaf,2011,C,28,NYK,4,4,75,8,12,.667,0,0,,8,12,.667,.667,7,10,.700,4,7,11,4,1,6,3,4,23
Hedo Türkoğlu,2011,SF,31,ORL,6,6,209,20,68,.294,7,30,.233,13,38,.342,.346,8,14,.571,1,18,19,22,8,1,7,18,55
Evan Turner,2011,SG,22,PHI,5,0,97,17,38,.447,4,5,.800,13,33,.394,.500,2,2,1.000,4,19,23,4,3,1,0,9,40
Greivis Vásquez,2011,PG,24,MEM,13,0,142,21,41,.512,4,11,.364,17,30,.567,.561,10,13,.769,3,16,19,25,5,2,9,11,56
Dwyane Wade,2011,SG,29,MIA,21,21,828,181,373,.485,14,52,.269,167,321,.520,.504,139,179,.777,43,107,150,92,34,28,64,53,515
Von Wafer,2011,SG,25,BOS,3,0,5,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
Henry Walker,2011,SG,23,NYK,4,0,89,9,30,.300,3,11,.273,6,19,.316,.350,2,3,.667,5,8,13,4,5,0,7,9,23
Gerald Wallace,2011,PF,28,POR,6,6,226,30,67,.448,3,17,.176,27,50,.540,.470,28,32,.875,9,46,55,17,8,3,15,19,91
Luke Walton,2011,SF,30,LAL,1,0,4,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,0,2,0,0
C.J. Watson,2011,PG,26,CHI,16,0,136,19,56,.339,3,15,.200,16,41,.390,.366,10,11,.909,2,12,14,31,8,0,17,15,51
Delonte West,2011,PG,27,BOS,9,0,170,22,47,.468,7,19,.368,15,28,.536,.543,8,10,.800,4,13,17,12,5,0,12,16,59
Russell Westbrook,2011,PG,22,OKC,17,17,638,135,343,.394,14,48,.292,121,295,.410,.414,121,142,.852,36,55,91,108,24,6,78,56,405
Damien Wilkins,2011,SF,31,ATL,8,0,39,7,13,.538,0,2,.000,7,11,.636,.538,0,0,,3,5,8,1,2,2,2,2,14
Lou Williams,2011,SG,24,PHI,5,0,130,17,52,.327,6,20,.300,11,32,.344,.385,14,19,.737,0,8,8,15,5,0,4,6,54
Marvin Williams,2011,SF,24,ATL,12,3,216,22,56,.393,3,11,.273,19,45,.422,.420,10,13,.769,10,17,27,6,9,7,12,18,57
Shawne Williams,2011,PF,24,NYK,4,0,101,10,24,.417,6,14,.429,4,10,.400,.542,6,8,.750,4,10,14,5,4,4,4,8,32
Metta World Peace,2011,SF,31,LAL,9,9,287,35,79,.443,9,28,.321,26,51,.510,.500,16,21,.762,17,24,41,20,10,7,9,23,95
Sam Young,2011,SF,25,MEM,13,11,256,43,96,.448,3,12,.250,40,84,.476,.464,9,15,.600,7,23,30,2,6,3,8,18,98
Thaddeus Young,2011,PF,22,PHI,5,0,127,25,60,.417,0,1,.000,25,59,.424,.417,7,12,.583,17,12,29,4,4,1,7,13,57
Arron Afflalo,2012,SG,26,DEN,7,7,229,30,74,.405,4,20,.200,26,54,.481,.432,12,15,.800,5,20,25,19,5,2,9,14,76
Blake Ahearn,2012,PG,27,UTA,3,0,8,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,0,0,2,0,0,0,0,5
Cole Aldrich,2012,C,23,OKC,5,0,25,4,9,.444,0,0,,4,9,.444,.444,2,4,.500,5,8,13,0,0,0,0,3,10
Lavoy Allen,2012,PF,22,PHI,12,1,236,34,61,.557,0,0,,34,61,.557,.557,7,12,.583,21,38,59,3,10,11,5,30,75
Ray Allen*,2012,SG,36,BOS,18,10,616,66,167,.395,28,92,.304,38,75,.507,.479,32,45,.711,8,66,74,18,17,2,17,41,192
Tony Allen,2012,SG,30,MEM,7,7,170,18,45,.400,0,5,.000,18,40,.450,.400,12,17,.706,8,14,22,5,9,7,10,21,48
Lou Amundson,2012,PF,29,IND,11,0,94,12,23,.522,0,0,,12,23,.522,.522,3,6,.500,6,17,23,2,2,5,4,16,27
James Anderson,2012,SG,22,SAS,8,0,31,4,9,.444,2,4,.500,2,5,.400,.556,1,2,.500,0,5,5,3,1,0,0,1,11
Ryan Anderson,2012,PF,23,ORL,5,5,172,15,44,.341,12,30,.400,3,14,.214,.477,6,7,.857,9,14,23,4,3,2,9,22,48
Carmelo Anthony,2012,SF,27,NYK,5,5,204,52,124,.419,4,18,.222,48,106,.453,.435,31,41,.756,13,28,41,11,6,1,14,21,139
Joel Anthony,2012,C,29,MIA,17,1,329,17,29,.586,0,0,,17,29,.586,.586,20,25,.800,22,33,55,2,5,16,8,41,54
Gilbert Arenas,2012,PG,30,MEM,6,0,23,2,8,.250,0,4,.000,2,4,.500,.250,0,0,,0,1,1,1,0,0,1,6,4
Ömer Aşık,2012,C,25,CHI,6,3,128,7,14,.500,0,0,,7,14,.500,.500,6,17,.353,8,20,28,8,1,10,8,14,20
Jeff Ayres,2012,C,24,IND,4,0,9,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,0,0,0,0,2,2
Kelenna Azubuike,2012,SG,28,DAL,1,0,5,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,0,1,0,1,0,1,0,3
Leandro Barbosa,2012,SG,29,IND,11,0,223,27,73,.370,3,20,.150,24,53,.453,.390,6,12,.500,5,19,24,14,5,1,13,23,63
Matt Barnes,2012,SF,31,LAL,11,0,185,16,59,.271,5,31,.161,11,28,.393,.314,2,4,.500,9,27,36,16,10,5,15,29,39
Brandon Bass,2012,PF,26,BOS,20,20,608,81,175,.463,0,0,,81,175,.463,.463,59,64,.922,26,79,105,15,14,10,15,50,221
Shane Battier,2012,SF,33,MIA,23,16,768,53,140,.379,42,110,.382,11,30,.367,.529,13,16,.813,15,59,74,27,22,14,16,69,161
Rodrigue Beaubois,2012,PG,23,DAL,2,0,12,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,2,0,0,1,1,0
Mike Bibby,2012,PG,33,NYK,5,1,118,9,23,.391,7,17,.412,2,6,.333,.543,2,3,.667,3,18,21,13,1,0,4,7,27
DeJuan Blair,2012,PF,22,SAS,10,0,76,17,27,.630,0,0,,17,27,.630,.630,3,6,.500,7,16,23,2,3,1,1,10,37
Steve Blake,2012,PG,31,LAL,12,0,306,26,62,.419,18,43,.419,8,19,.421,.565,5,7,.714,8,26,34,27,8,2,15,21,75
Eric Bledsoe,2012,PG,22,LAC,11,0,189,37,63,.587,3,7,.429,34,56,.607,.611,10,16,.625,12,14,26,23,13,4,15,23,87
Matt Bonner,2012,PF,31,SAS,13,0,165,10,32,.313,8,23,.348,2,9,.222,.438,3,5,.600,2,23,25,9,2,4,3,24,31
Carlos Boozer,2012,PF,30,CHI,6,6,200,38,90,.422,0,0,,38,90,.422,.422,5,7,.714,10,49,59,18,5,2,23,20,81
Chris Bosh*,2012,PF,27,MIA,14,10,439,73,148,.493,7,13,.538,66,135,.489,.517,43,52,.827,36,73,109,8,6,14,20,20,196
Avery Bradley,2012,PG,21,BOS,10,10,248,25,68,.368,5,22,.227,20,46,.435,.404,12,18,.667,3,17,20,8,8,6,10,20,67
Elton Brand,2012,C,32,PHI,13,13,356,46,99,.465,0,0,,46,99,.465,.465,20,32,.625,22,41,63,7,11,20,7,36,112
Corey Brewer,2012,SF,25,DEN,7,0,116,23,54,.426,6,20,.300,17,34,.500,.481,6,8,.750,6,8,14,6,7,2,2,11,58
Ronnie Brewer,2012,SG,26,CHI,5,0,83,4,16,.250,0,0,,4,16,.250,.250,0,3,.000,4,15,19,9,4,1,6,5,8
Kobe Bryant*,2012,SG,33,LAL,12,12,476,132,301,.439,17,60,.283,115,241,.477,.467,79,95,.832,16,42,58,52,16,2,34,33,360
Alec Burks,2012,SG,20,UTA,4,0,63,7,28,.250,0,2,.000,7,26,.269,.250,12,14,.857,5,6,11,3,2,0,3,4,26
Caron Butler,2012,SF,31,LAC,10,10,268,33,92,.359,8,31,.258,25,61,.410,.402,12,16,.750,4,26,30,10,6,2,16,22,86
Jimmy Butler,2012,SG,22,CHI,3,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
Andrew Bynum,2012,C,24,LAL,12,12,451,73,153,.477,0,0,,73,153,.477,.477,54,69,.783,46,87,133,18,5,37,16,21,200
Brian Cardinal,2012,SF,34,DAL,2,0,9,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,3,3,0,0,0,0,0,3
DeMarre Carroll,2012,SF,25,UTA,4,0,73,9,19,.474,1,5,.200,8,14,.571,.500,0,0,,7,8,15,3,2,1,3,9,19
Vince Carter,2012,SG,35,DAL,4,0,107,12,41,.293,3,10,.300,9,31,.290,.329,6,8,.750,5,17,22,1,5,2,6,11,33
Mario Chalmers,2012,PG,25,MIA,23,23,819,92,208,.442,33,92,.359,59,116,.509,.522,43,60,.717,12,72,84,90,28,6,42,69,260
Tyson Chandler,2012,C,29,NYK,5,5,167,11,25,.440,0,0,,11,25,.440,.440,9,15,.600,18,27,45,4,7,7,15,18,31
